Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Shrimp Wonton Soup,$7.99,2 servings per container,1 bowl (227 g),80," Water, Shrimp (Farm Raised), Wonton Skin (Wheat Flour, Soybean Oil, Salt, Water), Bok Choy, Sugar, Salt, Garlic, Onion, Soybean Oil, Sesame Oil, Pepper, Soy Sauce (Wheat, Soybean, Water, Salt)","Shellfish, Wheat, Soy, Sesame Seed"
365 By Whole Foods,$19.99,11 servings per container,5 shrimp (85 g),270," Shrimp, Potato Starch, Egg Whites, Cornstarch, Rice Bran Oil, Highly Refined Soybean Oil, Rice Flour, Corn Flour, Salt, Baking Soda (Sodium Bicarbonate), Baking Powder (Sodium Bicarbonate, Calcium Carbonate, Sodium Acid Pyrophosphate, Tapioca Starch), Xanthan Gum.","Eggs, Shellfish, Soy"
Miso Ramen with Shrimp,$7.99,1 servings per container,1 bowl (227 g),160," Water, Wheat Flour, Shrimp, Acetylated Starch, Soy, Hydroxypropyl Starch, Miring, Salt, Wheat Gluten, Spring Onion, Rice, Sodium Carbonate, Sugar, Coconut Milk, Calcium Oxide, Soy Sauce Powder (Soy, Wheat, Salt, Maltodextrin), Yeast Extract, Skipjack Tuna Extract Powder, Dextrose Monohydrate, Soy Sauce (Soy, Wheat, Salt, Water), Kep Powder, Silicon Dioxide, Mushroom Powder, Natural Color (Vitamin B2), Distilled Vinegar","Fish, Shellfish, Tree Nuts, Wheat, Soy"
Boom Boom Shrimp Club Pack,$19.99,11 servings per container,8 shrimp (85 g),150," Shrimp, Highly Refined Soybean Oil, Potato Starch, Egg Whites, Salt, Baking Soda (Sodium Bicarbonate).","Eggs, Shellfish, Soy"
Key West Pink Shrimp 70-90 Count,$19.99,Unknown,Unknown,Unknown,Unknown,Unknown
Alaskan Sockeye Salmon Fillet,$16.99,1 lb,Unknown,Unknown, Sockeye Salmon Fillet.,Fish
365 by Whole Foods Market,$13.99,Shrimp Breaded Hashville Hot Frozen,4 shrimp (85 g),210," Shrimp, Water, Highly Refined Soybean Oil, Tapioca Starch, Potato Starch, Rice Flour, Modified Tapioca Starch, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Tomato Sauce (Tomato Paste, Water, Cane Sugar, Vinegar, Salt, Chile Peppers, Shallots, Cloves), Chile Pepper Sauce (Chile Peppers, Water, Cane Sugar, Vinegar, Garlic, Salt, Guar Gum, Xanthan Gum), Vinegar Powder, Salt, Cane Sugar, Paprika Extract (Color), Cayenne, Paprika, Cumin, Natural Smoke Flavor, Chile Peppers, Yeast Extract, Citric Acid, Celery Powder, Black Pepper, Silicon Dioxide (To Prevent Caking), Guar Gum, Lactic Acid, Calcium Lactate, Xanthan Gum, Oregano, Malic Acid, Sodium Citrate, Oleoresin Of Capsicum.","Shellfish, Soy"
Gluten Free Fish Sticks,$4.19,2.5 servings per container,5 sticks (87 g),190," Fish Sticks [Whole Alaskan Pollock Fillets, Batter (Water, Yellow Corn Flour, Corn Starch, Sea Salt, Garlic Powder) Breader (Milled Corn, Cane Sugar)]., Breading Set in Canola Oil",Fish
Smoked Wild Alaskan Sockeye Salmon,$6.49,2 servings per container,2 oz (57 g),110,"Sockeye Salmon, Sugar, Salt, Brown Sugar, Natural Hardwood Smoke",Fish
Yellowfin Tuna Steak,$29.99,1 lb,Unknown,Unknown,Yellowfin Tuna Steak,Fish
Wild Albacore Tuna - No Salt Added,$5.49,1.5 servings per container,3 oz (85 g),100, Albacore Tuna (Thunnus Alalunga),Fish
Cod Fillets,$8.99,2 servings per container,1 fillet (149 g),120,Unknown,Unknown
SCALLOP & SHRIMP CAKE,$9.49,Unknown,Unknown,Unknown,Unknown,Unknown
FROZEN GRILLED SHRIMP TRAY WITH INDIVIDUAL COCKTAIL SAUCE CUP,$14.99,Unknown,Unknown,Unknown,Unknown,Unknown
SALMON CAKE,$9.49,Unknown,Unknown,Unknown,Unknown,Unknown
16 OZ FROZEN FINFISH CHOWDER,$11.99,Unknown,Unknown,Unknown,Unknown,Unknown
Flounder Fillet,$14.99,1 lb,4 oz (114 g),183,Beef,Unknown
Smoked Salmon,$16.99,Unknown,Unknown,Unknown,Unknown,Unknown
Crispy Battered Haddock,$7.49,3 servings per container,3.5 oz (100 g),200," Haddock, Water, Yellow Corn Flour, Modified Corn Starch, Rice Flour, Salt, Onion Powder, Garlic Powder, Leavening (Sodium Bicarbonate, Sodium Acid Pyrophosphate), Xanthan Gum, Guar Gum, Canola Oil",Fish
FROZEN GRILLED SHRIMP TRAY WITH INDIVIDUAL SWEET CHILI AND LIME SAUCE CUP,$14.99,Unknown,Unknown,Unknown,Unknown,Unknown
LOBSTER CAKE,$12.99,Unknown,Unknown,Unknown,Unknown,Unknown
LUMP CRAB CAKE,$12.99,Unknown,Unknown,Unknown,Unknown,Unknown
Sesame Shrimp Toast,$7.99,3 servings per container,2 pieces with sauce (113 g),180," Shrimp Toast: Shrimp, Squid, Bread (Wheat Flour, Yeast, Salt, Sugar, Ascorbic Acid, Shortening (Highly Refined Palm Oil), Water Chestnut, Modified Tapioca Starch, Vegetable Oil (Highly Refined Soybean Oil), Sesame Seed, Sugar, Sesame Oil, Salt, Yeast Extract, Garlic, Egg White Powder, Oyster Sauce (Water, Sugar, Salt, Oyster Extract (Oysters, Water, Salt), Modified Corn Starch, Wheat Flour, Caramel Color), Onion Powder, White Pepper Sweet Chili Sauce: Water, Chili, Sugar, Vinegar, Corn Starch, Ginger, Salt, Garlic","Eggs, Shellfish, Wheat, Soy, Sesame Seed"
16 OZ FROZEN MONKFISH CHOWDER,$11.99,Unknown,Unknown,Unknown,Unknown,Unknown
Raw Shell On White Shrimp 10-15 Count,$14.21,1 lb,3 oz (85 g),60,Shrimp,Shellfish
Halibut Fillet,$26.99,1 lb,Unknown,Unknown, Halibut Fillet.,Fish
365 SEAFOOD MEDLEY CLUB PACK,$24.99,8 servings per container,4 oz (113 g),110," Scallops, Shrimp (Shrimp, Salt), Squid, Mussels (Mussels, Water).",Shellfish
Maryland Style Crab Cakes 2 Count,$14.99,Unknown,Unknown,Unknown,Unknown,Unknown
- Bonito White Tuna In Olive Oil Glass,$14.79,1 servings per container,1 package drained (150 g),320," White Tuna, Olive Oil and Sea Salt.",Fish
365 by Whole Foods Market,$28.88,Shrimp Tail on 16/20 Cp Frozen,3 oz (85 g),60," Shrimp*, Water, Salt.",Shellfish
Steamed Shrimp With Cocktail Sauce,$14.99,Unknown,Unknown,Unknown," Shrimp - 10 Oz., Shrimp, Water, Salt, Sugar Cocktail Sauce - 2 Oz., Filtered Water, Tomato Paste, Horseradish (Horseradish, Organic Vinegar, Water, Salt, Natural Flavor), Organic White Vinegar, Chili Sauce (Organic Sugar, Filter Water, Garlic, Organic Apple Cider Vinegar, Sea Salt, Crushed Red Pepper), Organic Tomato Ketchup (Organic Tomato Concentrate, Organic Tomatoes, Organic Distilled Vinegar, Organic Cane Sugar, Salt, Organic Onion Powder, Organic Spice, Natural Flavor), Organic Sugar, Sea Salt, Molasses, Lemon Juice Concentrate, Died Onion, Black Pepper, Organic Worcestershire Sauce (Organic Vinegar, Organic Molasses, Organic Raw Cane Sugar, Sea Salt, Organic Spices, Organic Garlic Powder), Celery Pepper, Tomato Powder, Xanthan Gum, Cloves.",Shellfish
LOBSTER MAC & CHEESE (FROZEN),$9.44,Unknown,1 tray (227 g),490,"sauce: light cream, mascarpone cheese (cow's cream, skim milk, glucono delta lactone), water, white cheddar cheese (milk, cheese culture, salt, enzymes), lobster (lobster, water, salt), onion, butter (cream, salt), enriched wheat flour ([wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], malted barley flour), cornstarch, salt, spices, chives pasta: water, enriched durum semolina (durum semolina wheat flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid), egg whites. lobster: lobster, water, salt. breadcrumbs: wheat flour, parmesan cheese (pasteurized milk, cultures, enzymes, salt), olive oil, butter (cream, salt), salt, dehydrated garlic, sugar, nonfat milk, yeast, expeller pressed sunflower oil, dehydrated lemon peel, spice, dehydrated parsley, dehydrated chives.",Unknown
Shell On White Shrimp 16-20 Count,$12.44,1 lb,Unknown,Unknown,Unknown,Unknown
Peppered Smoked Salmon,$8.32,Unknown,Unknown,Unknown,Unknown,Unknown
